trial,reward,bucket_0,bucket_1,bucket_2,bucket_3,df,df_decay,df_min,er,er_decay,er_min,lr,lr_decay,lr_min
0,9.968,3,2,5,7,0.9945331161927207,0.9871294747397575,0.9474482964432297,0.06431883809070402,0.9755053776572276,0.016236653644187506,0.057119799620983756,0.9718099717711717,0.012669228812858997
1,15.016000000000002,7,7,3,5,0.9753102185699185,0.9507380036171778,0.9113286559712395,0.08052288254632693,0.9731400103002097,0.0878501176044504,0.4281295496931996,0.9173147636551303,0.0011842493490710204
2,22.072,4,4,3,7,0.9279417415660375,0.9888512976567086,0.8601949179819526,0.3270226432647455,0.9715535349850624,0.055149309970725806,0.08387023521740518,0.939308901495976,0.09069889411820477
3,20.816000000000003,7,6,6,3,0.9849474739176746,0.9987488225106288,0.9029338450865819,0.33097139093692907,0.9789547385065303,0.02897184094802127,0.4060248069020371,0.9183826460858958,0.011418323871595259
4,10.648,5,3,3,7,0.9951974514112238,0.9361653919788652,0.87917910888646,0.07056575974133218,0.9783738675719093,0.083146420193173,0.40249906875427116,0.9930746738745707,0.03390423825226862
5,9.984,6,3,6,6,0.945001866319728,0.9007984362109419,0.8750786758586915,0.061585595562037444,0.9428791253767392,0.057179488457960184,0.36056799527805394,0.9212653921265157,0.059915253606192466
6,11.735999999999999,2,2,5,2,0.9918855613258382,0.9647005255058371,0.8521724294326052,0.48055238394019134,0.9914939948147231,0.0830907639629999,0.476156442915028,0.9924045516936735,0.06767585076850871
7,9.983999999999998,5,3,6,5,0.9474400973381076,0.9437177620613816,0.8569933375004616,0.16595269687271327,0.9412758613476778,0.05601963111247216,0.47918549943666267,0.9981198186444458,0.0895462551124877
8,20.567999999999998,3,4,4,3,0.9714166511239354,0.9413050464955421,0.9210725270572004,0.3328083154836197,0.9130481347750788,0.06409807808722198,0.2438036243428126,0.9688154594611259,0.06776622791213788
9,22.552,5,2,2,3,0.969039927346826,0.9907370692697492,0.8864117996319856,0.4279965485775389,0.9987782429405695,0.06804545083359699,0.06113481673208632,0.946377589160173,0.019902928627322087
