trial,reward,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,df,df_decay,df_min,er,er_decay,er_min,lr,lr_decay,lr_min
0,-51.521827669936805,2,2,4,5,4,3,4,6,0.9919129113580645,0.9809962610576602,0.9152442204975395,0.12267223769635413,0.9916443222316081,0.04342189370498772,0.23997147183867162,0.9984368026053522,0.0845358072736376
1,-151.9948630701653,5,5,4,3,3,3,2,3,0.9746351398667841,0.9708667242539543,0.8640275456602535,0.1482005885305581,0.9454404757475847,0.013993023797231774,0.37952193079511143,0.9477128023741044,0.07267659007981635
2,-47.80921327919745,2,6,4,5,5,4,6,6,0.9695789073872554,0.9397110834141487,0.8658771077018127,0.3442803081790145,0.945601770394633,0.013212304361757353,0.4794435725111801,0.911571489618998,0.04763709334786129
3,-191.13198262977562,6,5,5,4,6,3,6,3,0.9367245870678144,0.9577307291386375,0.9406109321688606,0.15790054447692925,0.9966852513241449,0.08416423944180643,0.2982513167879852,0.9529852523111573,0.004860304605880978
4,-46.392394716519576,4,2,4,5,4,3,5,3,0.9072681572538868,0.923599224465911,0.8996693801656575,0.21538146851644122,0.9796195453423558,0.03728442035728009,0.05249221967203491,0.940203965061643,0.07562209792438933
5,-179.19591299071757,5,5,3,4,2,2,6,6,0.9564770135982729,0.917152824763121,0.8613813483560214,0.30053860789732395,0.9855506559068229,0.06815492074275648,0.10058305368139747,0.9619808171083157,0.049156775161410114
6,-212.7790036179585,6,2,6,4,5,4,4,2,0.9335401782273207,0.9585602255239319,0.9380191288299479,0.20241899963728444,0.9985447056118812,0.0914504078379451,0.24712433397411177,0.9356275216610211,0.011749766792873689
7,-223.177058625569,4,3,6,4,3,5,3,3,0.9657173596607284,0.9110794945829201,0.948625632907181,0.15865258161070867,0.9476408442305204,0.09149319758759644,0.06681778698019962,0.9214455956602905,0.036932084920999024
8,-239.81219680068156,2,5,2,6,5,2,5,4,0.9764333875697752,0.9963833728694508,0.8560129866425514,0.22865056568298653,0.9792421277363408,0.02471019804849333,0.1404344838367557,0.9741469116774327,0.0016135001706572766
9,-244.3147876501194,6,2,4,4,3,6,5,4,0.9770230510222299,0.9294143143615593,0.9416751521884028,0.3445243817258631,0.9111041316026123,0.0674456077313346,0.45206430842936535,0.9057205016436716,0.005052368981291477
10,-100.15322433024964,4,3,2,2,4,5,3,2,0.9039983589743005,0.9006454884938855,0.8912391970998439,0.473147484748872,0.9672740983119009,0.039129165010031434,0.17280262845188343,0.9824324282086452,0.0999009388146093
