trial,reward,bucket_dtheta,bucket_dx,bucket_theta,bucket_x,df,df_decay,df_min,er,er_decay,er_min,lr,lr_decay,lr_min
0,16.896,4,2,2,3,0.9079828698428932,0.9937745080160646,0.942658114729713,0.3288164915820303,0.9589896582550375,0.057291107785950764,0.48599210373141194,0.9403835914737364,0.056435572057155145
1,23.304,4,8,3,4,0.9278905619504236,0.9946182442842619,0.91090123075177,0.44197495887617316,0.9192094736562363,0.008304801678818582,0.18561424907286683,0.9461919002792565,0.017209062310175213
2,17.968,4,6,7,4,0.9586830444726485,0.9179629825554603,0.9044513363920177,0.35954076587835365,0.9237025034878341,0.0010697101110206768,0.3613350188140171,0.9113161263621987,0.05625605132247359
3,28.488,3,4,2,3,0.917969099509423,0.9132352675446551,0.895566734543421,0.20098160075839525,0.9544993895929403,0.03993377624262296,0.40223898558277354,0.978050070698503,0.006566604309428505
4,13.848000000000003,2,6,6,5,0.939454164149813,0.9600120588233647,0.8800898749008695,0.33556617566941993,0.9485016415527254,0.05482254222057888,0.18079556335412955,0.9001255122565209,0.09006086567197061
5,11.856,2,7,8,7,0.9814227204821042,0.9546007055391013,0.9400512536501865,0.05921495957351826,0.9973237689744038,0.08929103243635804,0.36798352931307116,0.9866200814590356,0.03292173043517124
6,25.448,8,2,3,4,0.9593642826448662,0.9024659498173642,0.8775818093010073,0.4126683178555118,0.9063217346246175,0.08234100428082453,0.35930832783730055,0.9082232358816974,0.09447126126328322
7,16.672000000000004,2,4,7,5,0.9900537318010412,0.9877677946009278,0.8666136402844407,0.25925703194046545,0.9976679489138728,0.05876528081882834,0.33352840838790165,0.9482187417889795,0.01824601697229707
8,18.0,8,6,6,2,0.9023979822026363,0.9418036903460884,0.9202073012288304,0.4181699481708087,0.9687255329977643,0.0692186705411857,0.2397500079808529,0.9345858260568248,0.07804811517874753
9,11.88,5,7,2,7,0.9482642957826741,0.9227789120773309,0.9156396604814497,0.23071909098180926,0.9277920622723944,0.09410342968399073,0.4891295350434319,0.9433829922530963,0.023801551795334327
10,17.72,7,4,4,2,0.9222097820460754,0.9332760079090037,0.8504102089768603,0.15360025998026164,0.9771967014207881,0.028961800062053896,0.07839784964840982,0.9899307811837487,0.002815022668122648
11,15.063999999999998,7,2,4,3,0.9634181831342705,0.9003259615123956,0.8869276558553162,0.16705840044530623,0.9018021183016586,0.032772049959303884,0.4058592750145161,0.9702936875657209,0.09971433492939838
12,17.880000000000003,6,3,3,4,0.9736631682892198,0.9005189607667031,0.8831542326034328,0.48113021837482683,0.9424005233390078,0.07627441401036801,0.2902443658905924,0.9718220140101985,0.07164201599971934
13,14.488,3,4,3,6,0.9375624643091645,0.9173201453518447,0.8936861737766275,0.20153316037201277,0.9016219731771523,0.039192334376064154,0.40812857036454325,0.9257625205393428,0.04029799788845064
14,12.664,8,3,2,3,0.9180314374679583,0.9716824507441892,0.869362896237209,0.09235694539615386,0.9411544402396886,0.019279425295178773,0.42778371785050356,0.9673575251805555,0.07156480658094477
15,11.72,6,3,4,8,0.9576848787867935,0.9083584593216381,0.8676834204495966,0.29271162529401507,0.9797363098875352,0.07897952350424556,0.29169308396674654,0.9998530504955004,0.0027890874425677316
16,31.391999999999996,5,5,5,4,0.9431921838303866,0.9324015630198286,0.9269569551797536,0.39269785020759673,0.9578956905678956,0.0449987653826798,0.44612606587524295,0.9587575395342173,0.04605505671013555
17,39.824,3,5,5,2,0.9319768565624085,0.9342180787033145,0.9279814040968637,0.3803757556314687,0.9638592840264935,0.0448902693097566,0.4480573366012989,0.9611554804074077,0.0450634856158679
18,42.736,5,5,5,2,0.9360032295653391,0.9319139852344946,0.9290329254681896,0.4990629456677583,0.9683963932243839,0.046384928866673746,0.4566341025981502,0.9595859506597239,0.04525909369366642
19,38.256,3,5,5,2,0.9325555680921381,0.9442443129990998,0.9310662831721174,0.496666668313339,0.9834128414528918,0.020149060264815777,0.4588761989044377,0.9588322955183874,0.0370358146926518
20,21.272,6,5,5,2,0.9274740108857626,0.9313540376253164,0.949073864363563,0.44821156080721314,0.969839199282775,0.06655601057793356,0.06050433824558907,0.9578569960924226,0.05851950274459859
21,38.376,3,5,6,2,0.9331476193245585,0.9427337337778594,0.9311465341417056,0.4937919749967316,0.9880992454825663,0.023146939464790642,0.45720729904893936,0.9596156069267044,0.03506282060540385
22,21.208,3,5,6,2,0.9463966883893963,0.9640094471641845,0.9329379929986662,0.4644209973108795,0.9872874645856512,0.023426891212157602,0.4943513240852108,0.9580364366821618,0.03067253135384412
23,15.36,5,6,6,3,0.9113011427708124,0.9456763523359469,0.9217946252646506,0.3829048593471583,0.9681118025019033,0.048152144134773776,0.45197028019189683,0.9331603383474935,0.04774220462037665
24,18.624000000000002,4,7,7,2,0.9336346460826742,0.9267289981724779,0.9073070383058142,0.499810094970612,0.9889862152806843,0.013287024534269701,0.32510807860075286,0.9801596981695968,0.042486392135081284
25,27.472,3,5,5,3,0.9518966274699969,0.9396070981048141,0.9376743173608199,0.4375244952512264,0.9656785778963048,0.03460823758965549,0.3950466280288616,0.966156446837049,0.02631860561438865
26,20.056,2,6,4,2,0.9247643686297821,0.9515726862499337,0.9245534504870863,0.29603535109551077,0.9915775930335551,0.043877477882469124,0.4571198098587696,0.9528250874677638,0.06187598604769959
27,30.384000000000004,5,4,6,3,0.9340511353883788,0.9736784716582045,0.9149433641565597,0.3688776833445143,0.9757641211448087,0.03056488239189528,0.429948588704534,0.9529939307578288,0.050378298075006316
28,34.256,4,5,8,2,0.9128117649496265,0.935441529670639,0.9496957688477634,0.4644901164296091,0.9613127801143578,0.06256934757525563,0.23693363237397935,0.9645851018305548,0.03623197200433529
29,16.616000000000003,4,8,7,6,0.9689877696664269,0.9271324464361276,0.9424771312227317,0.3317344982567453,0.949193027384818,0.054785474710236426,0.4989974741827128,0.9372105180892301,0.06540573830656551
30,54.64,3,5,5,3,0.9020746425862388,0.9497475735385899,0.9368195054615097,0.408157627590074,0.9762073602500301,0.026758295712952435,0.4676180952832658,0.9749825293047892,0.05146280359337714
31,24.559999999999995,3,5,5,3,0.902720263914474,0.9498044777576944,0.9337102720833332,0.40593712656596126,0.9740656380083766,0.025904614597002707,0.47567146789910925,0.9769875976403523,0.05521276845118231
32,32.104,4,6,5,2,0.909114658332952,0.9576486908785107,0.9264711525111147,0.4502792289514835,0.9622428935243523,0.012604590482588003,0.4248720345293955,0.9837544480001298,0.04529467215858378
33,29.112000000000002,2,4,6,2,0.9178304103028502,0.9390648697977844,0.9442179416559854,0.4269651066002491,0.9854465683676653,0.03998365559404408,0.4639469069839766,0.9734614345279083,0.029837820939249606
34,52.25599999999999,3,5,4,4,0.9526891718151387,0.9484698429951708,0.9147093524472499,0.4742780183676015,0.9545555367247476,0.0036194287533016234,0.37585984309507625,0.9639343852138639,0.05379857764882957
35,20.127999999999997,4,6,4,4,0.9520478343598437,0.9623676362130634,0.9019779426849845,0.36642613325303347,0.9541455511659676,0.0014934081014535707,0.36572212702998935,0.9639597661548869,0.05295970330187681
36,19.144,3,4,4,3,0.9432294926340171,0.9484357751806213,0.9113727633713002,0.34748982081495505,0.9358358636626456,0.0066494338191593946,0.3926242802207513,0.9933872774824847,0.06731226422000966
37,26.4,2,6,4,5,0.9552236705910581,0.9220180566873839,0.9171926479509263,0.47097625587841296,0.9530082660658065,0.05270679369129522,0.33170970918076115,0.9498766304629552,0.07953473555861221
38,15.951999999999998,4,4,5,4,0.9661875290537034,0.9737182354637417,0.9078479753193469,0.3109836557985486,0.9441204454261645,0.016625526979226566,0.15158050281441293,0.9748353357485378,0.05804854326583935
39,78.03999999999999,2,7,5,4,0.9950659534306472,0.9689243499503042,0.9376348805759714,0.4338715278890517,0.9585250889172355,0.05006938700327083,0.3776546466877107,0.981724510207293,0.011697533302086567
40,23.2,2,7,3,5,0.9955143172602475,0.9885179688717292,0.9359569706689388,0.43021920598044505,0.9346560786786862,0.03681554373109638,0.38043983742569826,0.9958369574188779,0.01009723604818567
41,45.895999999999994,2,8,5,4,0.9805178309725895,0.9661238002125896,0.9426981516406466,0.39935580499128875,0.9584288973387258,0.04994975475412639,0.4304902346583554,0.984505407776754,0.0172525399081037
42,28.767999999999994,2,8,4,4,0.9821521720869479,0.9674831711243167,0.9436151118492788,0.3993735911931223,0.9562111572291454,0.059639350296545615,0.43154089851441824,0.9841145720418549,0.013490413882641175
43,65.8,2,8,5,4,0.9974258702075309,0.9817805126987479,0.9376206354149333,0.45872656575775167,0.9739465592406029,0.05076341421065952,0.35128257351222153,0.98032356778344,0.02382491199782555
44,22.816,2,8,5,5,0.9966609866205537,0.9802459929834726,0.9405272818799749,0.4116340558783999,0.972347375646151,0.05221705469578255,0.3518913261105295,0.9890912835006888,0.019071773798519005
45,24.456,2,7,6,4,0.9876690012314431,0.9808075908428946,0.9451401644749309,0.45592794920956037,0.9132093311870881,0.06825589134868508,0.3486152332405681,0.980182811484308,0.02124008289331874
46,29.976,2,8,4,4,0.9777802085853363,0.9555590260577892,0.9378182022252899,0.4257170333691674,0.9803445844079643,0.0735908903086275,0.3140990789089462,0.9860061196640715,0.014190870186830854
47,20.368000000000002,2,8,5,5,0.9914879733031657,0.9999254829869787,0.8963141560907703,0.3559951701762583,0.9480138586349974,0.06187895801113663,0.25642799302377195,0.9709683539960142,0.010733196199769347
